Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering
antoniojoserj,antoniojoserj,,0,1,1,0,2,2,1,1,1,0,25,0,3066,0
SA_PhD,SA_PhD,,2,3,5,2,9,11,1,1,1,0,288,181,3068,0.333333
outbreak_india,outbreak_india,,3,2,5,6,2,8,2,0.6,0.666667,0,288,181,3068,0.833333
KP01011,KP01011,,2,4,6,4,4,8,1,1,1,0,288,181,3068,0.583333
MonicaGrayley,MonicaGrayley,,0,3,3,0,4,4,1,1,1,0,31,0,3069,0.333333
MoetiTshidi,MoetiTshidi,,4,0,4,4,0,4,0,0,0,0,31,0,119,0.25
Joice21909666,Joice21909666,,0,1,1,0,1,1,1,1,1,0,80,0,3070,0
JooRodr91678856,JooRodr91678856,,0,1,1,0,1,1,1,1,1,0,8,0,3071,0
RobindosBosque2,RobindosBosque2,,0,1,1,0,3,3,1,1,1,0,8,0,3072,0
mpresidencia_pt,mpresidencia_pt,,0,1,1,0,1,1,2,0.6,0.666667,0,8,0,3073,0
LMadanelo,LMadanelo,,0,1,1,0,1,1,1,1,1,0,213,0,3074,0
GideonRochartas,GideonRochartas,,0,1,1,0,1,1,1,1,1,0,213,0,3075,0
tixapearce,tixapearce,,0,2,2,0,2,2,1,1,1,0,0,0,3076,0.5
psbnacamara,psbnacamara,,3,1,4,4,1,5,1,1,1,0,0,0,123,0.25
BiradoPindare,BiradoPindare,,4,0,4,5,0,5,0,0,0,0,0,0,122,0.25
sempreumpapo,sempreumpapo,,1,0,1,1,0,1,0,0,0,0,115,0,4,0
alejanvalverde,alejanvalverde,,1,0,1,1,0,1,0,0,0,0,286,91,1806,0
Thayann74204932,Thayann74204932,,0,1,1,0,1,1,1,1,1,0,25,0,3077,0
mario_uro,mario_uro,,0,1,1,0,1,1,1,1,1,0,223,182,3079,0
